Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
Gaia DR3 1582307767648078592,Bader,2024-03-05T21:03:24.874,180.2604670833333,60.976418888888894,180.2988627469741,60.985530058653936,0.02073478912737936,,21.038603,,,,,,,,,-4.601054773426645,,1.221698
Gaia DR3 1582387447881389056,Bader,2024-03-05T21:03:24.874,180.70063999999996,60.96863527777778,180.69119069317838,60.97475318547327,0.007645444908834999,,20.324024,,,,,,,,,-3.4079760734444204,,1.221698
LEDA 2607793,Bader,2024-03-05T21:03:24.874,180.6476420833333,60.84814472222222,180.66119427120228,60.84536835941588,0.007161941128397082,,19.61422,,,,,,,,,-4.950392571075209,,1.221698
SDSS J120123.28+605818.8,Bader,2024-03-05T21:03:24.874,180.34712,60.97181722222222,180.31555872384334,60.98378815135625,0.019435985120479955,,20.128153,,,,,,,,,-4.3065855054154065,,1.221698
SDSS J120200.28+605129.5,Bader,2024-03-05T21:03:24.874,180.50115874999997,60.85819611111111,180.4671221253241,60.846614344729254,0.020222871347449985,,21.862967,,,,,,,,,-4.729208742319523,,1.221698
SDSS J120202.61+605825.1,Bader,2024-03-05T21:03:24.874,180.51094166666664,60.973552777777776,180.55663341334397,60.972007403978,0.02222457432462336,,19.831186,,,,,,,,,-4.018956275819174,,1.221698
SDSS J120241.19+604322.6,Bader,2024-03-05T21:03:24.874,180.67167749999996,60.72295888888889,180.63150940809624,60.73672671290132,0.02398448455012244,,19.88113,21.6,20.46,,,,,,,-4.61244543451838,,1.221698
SDSS J120249.78+604546.7,Bader,2024-03-05T21:03:24.874,180.70744166666665,60.762997222222225,180.70883108469246,60.759116696277346,0.003939424839752756,,,,,,,,,,,-6.090842155950735,,1.221698
SDSS J120251.27+605127.9,Bader,2024-03-05T21:03:24.874,180.71366625,60.85774333333333,180.71356684222755,60.86673618043687,0.008992977363127255,,16.586504,,,,,,,,,-5.944261551642926,,1.221698
SDSS J120252.42+605306.3,Bader,2024-03-05T21:03:24.874,180.71842291666664,60.885082777777775,180.71453350949994,60.87809315293915,0.007241337788712213,,20.805779,,,,,,,,,-4.496644321337911,,1.221698
SDSS J120252.53+604350.7,Bader,2024-03-05T21:03:24.874,180.71896791666666,60.730650000000004,180.73544010473555,60.72815029109459,0.008432833710872339,,20.05006,,,,,,,,,-6.224749308679761,,1.221698
TYC 4154-593-1,Bader,2024-03-05T21:03:24.874,180.61884833333332,60.85004083333334,180.62451897706552,60.84575738938393,0.0050969019564341585,,12.370372,13.09,12.3,,,,,,,-4.336723031895884,,1.221698
TYC 4154-670-1,Bader,2024-03-05T21:03:24.874,180.52546166666664,60.79639888888889,180.53606612665584,60.78897630334418,0.009048313723872768,,11.886413,12.73,12.22,,,,,,,-3.7819266481318206,,1.221698
BD+61  1277,Bader,2024-03-05T22:33:20.976,180.7205875,60.79778888888889,180.712253285906,60.81196503809278,0.014747539830836128,,9.767136,11.42,10.13,,,,,,,-3.39449169427618,,1.087934
GALEX J120158.4+610016,Bader,2024-03-05T22:33:20.976,180.49353499999998,61.00461611111111,180.46036561087092,60.994213837587665,0.019152289404030985,,19.960655,,,,,,,,,-1.7647663822989437,,1.087934
Gaia DR3 1582294749603370624,Bader,2024-03-05T22:33:20.976,180.50535291666665,60.722285,180.4939672319365,60.72301705607427,0.0056159458635525045,,20.176197,,,,,,,,,-3.023479172164092,,1.087934
Gaia DR3 1582294985825349120,Bader,2024-03-05T22:33:20.976,180.4902725,60.74276416666667,180.47558306022088,60.75064032963421,0.010656550846585828,,17.232594,,,,,,,,,-3.180382567066495,,1.087934
Gaia DR3 1582387447881389056,Bader,2024-03-05T22:33:20.976,180.70063999999996,60.96863527777778,180.704190066309,60.969328728454,0.0018571130201523523,,20.324024,,,,,,,,,-2.6382737444535986,,1.087934
LEDA 2607793,Bader,2024-03-05T22:33:20.976,180.6476420833333,60.84814472222222,180.65320372121698,60.852366069006514,0.005015841215717431,,19.61422,,,,,,,,,-2.459013261492856,,1.087934
SDSS J120123.28+605818.8,Bader,2024-03-05T22:33:20.976,180.34712,60.97181722222222,180.30782629233676,60.989016331628896,0.02567407675388118,,20.128153,,,,,,,,,-2.2092901619244625,,1.087934
SDSS J120200.28+605129.5,Bader,2024-03-05T22:33:20.976,180.50115874999997,60.85819611111111,180.49018527379485,60.86093441241416,0.0060043213228942165,,21.862967,,,,,,,,,-1.9418281965567308,,1.087934
SDSS J120202.61+605825.1,Bader,2024-03-05T22:33:20.976,180.51094166666664,60.973552777777776,180.53652066181104,60.96569196437039,0.014692516782166279,,19.831186,,,,,,,,,-3.4480926587316763,,1.087934
SDSS J120241.19+604322.6,Bader,2024-03-05T22:33:20.976,180.67167749999996,60.72295888888889,180.65875754038862,60.73007256081361,0.009514001663637344,,19.88113,21.6,20.46,,,,,,,-2.210299931745849,,1.087934
SDSS J120249.78+604546.7,Bader,2024-03-05T22:33:20.976,180.70744166666665,60.762997222222225,180.71549432357037,60.778260553241466,0.01576170131994492,,,,,,,,,,,-3.160729984625404,,1.087934
SDSS J120252.42+605306.3,Bader,2024-03-05T22:33:20.976,180.71842291666664,60.885082777777775,180.69977598540646,60.922012193255334,0.03802635978166459,,20.805779,,,,,,,,,-2.155798374376249,,1.087934
SDSS J120252.53+604350.7,Bader,2024-03-05T22:33:20.976,180.71896791666666,60.730650000000004,180.71845584787937,60.72514029185684,0.005515394272824683,,20.05006,,,,,,,,,-1.5988969168531495,,1.087934
TYC 4154-593-1,Bader,2024-03-05T22:33:20.976,180.61884833333332,60.85004083333334,180.5945927023291,60.833767900915525,0.020111440030851312,,12.370372,13.09,12.3,,,,,,,-3.068719529282829,,1.087934
TYC 4154-670-1,Bader,2024-03-05T22:33:20.976,180.52546166666664,60.79639888888889,180.50589815672518,60.78900376583531,0.012075679198669628,,11.886413,12.73,12.22,,,,,,,-1.8349665252119793,,1.087934
TYC 4154-789-1,Bader,2024-03-05T22:33:20.976,180.17309333333333,60.78986416666667,180.2543399071391,60.77907650697203,0.04109724284945366,,11.257854,11.9,11.47,,,,,,,-2.255842063012313,,1.087934
GALEX J120158.4+610016,Bader,2024-03-05T23:11:25.380,180.49353499999998,61.00461611111111,180.5690274062749,61.00206037859903,0.036684729736043004,,19.960655,,,,,,,,,-5.505780270675446,,1.060927
SDSS J120123.28+605818.8,Bader,2024-03-05T23:11:25.380,180.34712,60.97181722222222,180.40378487399997,60.973459704671775,0.02754435407208062,,20.128153,,,,,,,,,-6.258167601680087,,1.060927
SDSS J120200.28+605129.5,Bader,2024-03-05T23:11:25.380,180.50115874999997,60.85819611111111,180.53033416427618,60.89500397567705,0.03945178188879039,,21.862967,,,,,,,,,-8.052089433614439,,1.060927
SDSS J120202.61+605825.1,Bader,2024-03-05T23:11:25.380,180.51094166666664,60.973552777777776,180.56114691518815,60.948180556779825,0.03518017971073956,,19.831186,,,,,,,,,-5.4432982865417925,,1.060927
SDSS J120251.27+605127.9,Bader,2024-03-05T23:11:25.380,180.71366625,60.85774333333333,180.6720665587078,60.8724662759567,0.025039383081221295,,16.586504,,,,,,,,,-8.624606337161023,,1.060927
SDSS J120252.53+604350.7,Bader,2024-03-05T23:11:25.380,180.71896791666666,60.730650000000004,180.72404861416558,60.72450060070243,0.006632248224751908,,20.05006,,,,,,,,,-6.260748427732327,,1.060927
TYC 4154-593-1,Bader,2024-03-05T23:11:25.380,180.61884833333332,60.85004083333334,180.5572926239887,60.84416477358073,0.030556668283178552,,12.370372,13.09,12.3,,,,,,,-6.086307153835593,,1.060927
TYC 4154-670-1,Bader,2024-03-05T23:11:25.380,180.52546166666664,60.79639888888889,180.4511040292326,60.79187438745052,0.03656374901346529,,11.886413,12.73,12.22,,,,,,,-5.590607937437866,,1.060927
BD+61  1277,Bader,2024-03-05T21:15:34.516,180.7205875,60.79778888888889,180.72318190073864,60.78672513805561,0.011135949106784494,,9.767136,11.42,10.13,,,,,,,-3.172789256330406,,1.199536
GALEX J120158.4+610016,Bader,2024-03-05T21:15:34.516,180.49353499999998,61.00461611111111,180.4594515037667,61.00537958996215,0.016539037652400838,,19.960655,,,,,,,,,-2.1634054717974056,,1.199536
Gaia DR3 1582294749603370624,Bader,2024-03-05T21:15:34.516,180.50535291666665,60.722285,180.50148009853146,60.73151656379662,0.009423793415696923,,20.176197,,,,,,,,,-3.033615914895499,,1.199536
Gaia DR3 1582294985825349120,Bader,2024-03-05T21:15:34.516,180.4902725,60.74276416666667,180.48311746620027,60.75912620482893,0.0167313567155147,,17.232594,,,,,,,,,-3.33880167371337,,1.199536
Gaia DR3 1582386627543700224,Bader,2024-03-05T21:15:34.516,180.77453791666667,60.936746666666664,180.72006325319472,60.93372920134928,0.02663515101799214,,20.280472,,,,,,,,,-4.080397677634395,,1.199536
Gaia DR3 1582387447881389056,Bader,2024-03-05T21:15:34.516,180.70063999999996,60.96863527777778,180.70901683915739,60.95493462277247,0.014291283148012715,,20.324024,,,,,,,,,-1.7203168261054635,,1.199536
LEDA 2607793,Bader,2024-03-05T21:15:34.516,180.6476420833333,60.84814472222222,180.6364786748911,60.83495507805187,0.014267116481277684,,19.61422,,,,,,,,,-2.910354110897236,,1.199536
SDSS J120123.28+605818.8,Bader,2024-03-05T21:15:34.516,180.34712,60.97181722222222,180.32857765146,60.95895443409234,0.01569836938719683,,20.128153,,,,,,,,,-4.201513085673784,,1.199536
SDSS J120200.28+605129.5,Bader,2024-03-05T21:15:34.516,180.50115874999997,60.85819611111111,180.4276846085205,60.876726648066835,0.04028448450872883,,21.862967,,,,,,,,,-3.215450024101967,,1.199536
SDSS J120202.61+605825.1,Bader,2024-03-05T21:15:34.516,180.51094166666664,60.973552777777776,180.54422941325225,60.9741520891786,0.016162619560339826,,19.831186,,,,,,,,,-3.4352354206159457,,1.199536
SDSS J120241.19+604322.6,Bader,2024-03-05T21:15:34.516,180.67167749999996,60.72295888888889,180.64430545249886,60.71186975523663,0.017384224943382636,,19.88113,21.6,20.46,,,,,,,-4.660607827555204,,1.199536
SDSS J120249.78+604546.7,Bader,2024-03-05T21:15:34.516,180.70744166666665,60.762997222222225,180.64415906761573,60.77279950562037,0.032421292150520836,,,,,,,,,,,-3.4709602080570754,,1.199536
SDSS J120251.27+605127.9,Bader,2024-03-05T21:15:34.516,180.71366625,60.85774333333333,180.72723290222584,60.85327492629551,0.007976279696310625,,16.586504,,,,,,,,,-4.498369138490089,,1.199536
SDSS J120252.42+605306.3,Bader,2024-03-05T21:15:34.516,180.71842291666664,60.885082777777775,180.71132028985062,60.89017203857513,0.006151563895798306,,20.805779,,,,,,,,,-4.305852821647658,,1.199536
TYC 4154-593-1,Bader,2024-03-05T21:15:34.516,180.61884833333332,60.85004083333334,180.6300666571432,60.854809492137974,0.007252272613287038,,12.370372,13.09,12.3,,,,,,,-4.127387891543074,,1.199536
TYC 4154-670-1,Bader,2024-03-05T21:15:34.516,180.52546166666664,60.79639888888889,180.52340570536708,60.78866190477141,0.007801758961679918,,11.886413,12.73,12.22,,,,,,,-3.835469228025263,,1.199536
[PKK96] VB 133+55,Bader,2024-03-05T21:15:34.516,180.75,61.0,180.67504200653335,61.01739896361971,0.04028177961340863,,,,,,,,,,,-5.040553609930207,,1.199536
BD+61  1277,Bader,2024-03-05T23:05:13.904,180.7205875,60.79778888888889,180.72977919958825,60.81988780077964,0.02254904404417597,,9.767136,11.42,10.13,,,,,-4.358128447249916,,,,1.065894
GALEX J120158.4+610016,Bader,2024-03-05T23:05:13.904,180.49353499999998,61.00461611111111,180.4797244004949,60.9869281238415,0.01891313564989129,,19.960655,,,,,,,-4.843974195953262,,,,1.065894
Gaia DR3 1582294985825349120,Bader,2024-03-05T23:05:13.904,180.4902725,60.74276416666667,180.44293710305502,60.74914045917927,0.023994716283360713,,17.232594,,,,,,,-4.863654621946878,,,,1.065894
Gaia DR3 1582386627543700224,Bader,2024-03-05T23:05:13.904,180.77453791666667,60.936746666666664,180.7180128954566,60.92328704590759,0.030585057181719288,,20.280472,,,,,,,-5.192615988932462,,,,1.065894
Gaia DR3 1582387447881389056,Bader,2024-03-05T23:05:13.904,180.70063999999996,60.96863527777778,180.72673075818454,60.966832118262566,0.012789647343429291,,20.324024,,,,,,,-4.930601340442564,,,,1.065894
LEDA 2607793,Bader,2024-03-05T23:05:13.904,180.6476420833333,60.84814472222222,180.64414231578178,60.85406978218635,0.0061654062519711705,,19.61422,,,,,,,-5.002057542821953,,,,1.065894
SDSS J120123.28+605818.8,Bader,2024-03-05T23:05:13.904,180.34712,60.97181722222222,180.3347320937264,60.99201674518522,0.02107441939100012,,20.128153,,,,,,,-4.9704952865776795,,,,1.065894
SDSS J120200.28+605129.5,Bader,2024-03-05T23:05:13.904,180.50115874999997,60.85819611111111,180.48651369277414,60.8548741949339,0.007867794432811118,,21.862967,,,,,,,-5.60670877460395,,,,1.065894
SDSS J120202.61+605825.1,Bader,2024-03-05T23:05:13.904,180.51094166666664,60.973552777777776,180.48269350666445,60.964198248337716,0.016596005908427205,,19.831186,,,,,,,-6.98695988994405,,,,1.065894
SDSS J120241.19+604322.6,Bader,2024-03-05T23:05:13.904,180.67167749999996,60.72295888888889,180.65106003806966,60.744992067340426,0.024229123294257412,,19.88113,21.6,20.46,,,,,-5.332830610470335,,,,1.065894
SDSS J120249.78+604546.7,Bader,2024-03-05T23:05:13.904,180.70744166666665,60.762997222222225,180.72834096765473,60.767411612749356,0.011120690459150465,,,,,,,,,-6.994338802313333,,,,1.065894
SDSS J120251.27+605127.9,Bader,2024-03-05T23:05:13.904,180.71366625,60.85774333333333,180.6807097081126,60.85365867457753,0.016561796164617903,,16.586504,,,,,,,-5.508446893934119,,,,1.065894
SDSS J120252.42+605306.3,Bader,2024-03-05T23:05:13.904,180.71842291666664,60.885082777777775,180.73400466942564,60.886384923127835,0.007692360548640768,,20.805779,,,,,,,-5.081633223148937,,,,1.065894
TYC 4154-593-1,Bader,2024-03-05T23:05:13.904,180.61884833333332,60.85004083333334,180.5873562834359,60.8347520883626,0.021660199588633598,,12.370372,13.09,12.3,,,,,-4.9024041386711295,,,,1.065894
TYC 4154-670-1,Bader,2024-03-05T23:05:13.904,180.52546166666664,60.79639888888889,180.5673845908762,60.79180092464511,0.02096664773011398,,11.886413,12.73,12.22,,,,,-3.4929896079687444,,,,1.065894
BD+61  1277,Bader,2024-03-05T23:13:28.860,180.7205875,60.79778888888889,180.7742608623275,60.802554783409576,0.026615111282894444,,9.767136,11.42,10.13,,,,,-5.3804846756901,,,,1.059515
GALEX J120158.4+610016,Bader,2024-03-05T23:13:28.860,180.49353499999998,61.00461611111111,180.4227893002291,61.01294941317832,0.03528681714834695,,19.960655,,,,,,,-7.104614755726035,,,,1.059515
Gaia DR3 1582386627543700224,Bader,2024-03-05T23:13:28.860,180.77453791666667,60.936746666666664,180.7332177829586,60.91976114313134,0.026298658812205424,,20.280472,,,,,,,-5.249257908372061,,,,1.059515
SDSS J120200.28+605129.5,Bader,2024-03-05T23:13:28.860,180.50115874999997,60.85819611111111,180.50172409548665,60.85137260080369,0.006829063151031139,,21.862967,,,,,,,-5.664434341029372,,,,1.059515
SDSS J120202.61+605825.1,Bader,2024-03-05T23:13:28.860,180.51094166666664,60.973552777777776,180.49788132772835,60.96071277801958,0.014319218310402422,,19.831186,,,,,,,-7.019023465699409,,,,1.059515
SDSS J120241.19+604322.6,Bader,2024-03-05T23:13:28.860,180.67167749999996,60.72295888888889,180.6659755211496,60.74152635835252,0.01877556690162063,,19.88113,21.6,20.46,,,,,-5.525573700939907,,,,1.059515
SDSS J120249.78+604546.7,Bader,2024-03-05T23:13:28.860,180.70744166666665,60.762997222222225,180.74333365733702,60.763953689341186,0.017556296709619945,,,,,,,,,-7.064769729988505,,,,1.059515
SDSS J120251.27+605127.9,Bader,2024-03-05T23:13:28.860,180.71366625,60.85774333333333,180.6957876377193,60.850159080805874,0.011547397330246302,,16.586504,,,,,,,-5.618854542722859,,,,1.059515
SDSS J120252.42+605306.3,Bader,2024-03-05T23:13:28.860,180.71842291666664,60.885082777777775,180.68385479811926,60.89490269742404,0.019474122180213268,,20.805779,,,,,,,-5.828110804878603,,,,1.059515
SDSS J120252.53+604350.7,Bader,2024-03-05T23:13:28.860,180.71896791666666,60.730650000000004,180.77000145945425,60.732979980294516,0.025058760045383852,,20.05006,,,,,,,-7.274270175142888,,,,1.059515
TYC 4154-593-1,Bader,2024-03-05T23:13:28.860,180.61884833333332,60.85004083333334,180.57649673477897,60.88365314405634,0.039432339684483356,,12.370372,13.09,12.3,,,,,-6.77360143207726,,,,1.059515
TYC 4154-670-1,Bader,2024-03-05T23:13:28.860,180.52546166666664,60.79639888888889,180.4526474007639,60.79737564020782,0.035540018816221854,,11.886413,12.73,12.22,,,,,-5.7628709120660995,,,,1.059515
BD+61  1277,Bader,2024-03-05T21:19:16.709,180.7205875,60.79778888888889,180.7029007813962,60.783145550319475,0.016997795788251755,,9.767136,11.42,10.13,,,,,-4.421619923992166,,,,1.193168
GALEX J120158.4+610016,Bader,2024-03-05T21:19:16.709,180.49353499999998,61.00461611111111,180.44774163764492,60.99904730543218,0.022887592729884478,,19.960655,,,,,,,-3.2311236701230928,,,,1.193168
Gaia DR3 1582294749603370624,Bader,2024-03-05T21:19:16.709,180.50535291666665,60.722285,180.48144253119,60.72791960557108,0.012979060173867239,,20.176197,,,,,,,-3.8046843340715757,,,,1.193168
Gaia DR3 1582294985825349120,Bader,2024-03-05T21:19:16.709,180.4902725,60.74276416666667,180.49690736240913,60.738223200363244,0.0055800308029448405,,17.232594,,,,,,,-2.29973908310592,,,,1.193168
Gaia DR3 1582307767648078592,Bader,2024-03-05T21:19:16.709,180.2604670833333,60.976418888888894,180.29496131947002,60.99390460384071,0.024200720837343488,,21.038603,,,,,,,-4.079796591543011,,,,1.193168
Gaia DR3 1582386627543700224,Bader,2024-03-05T21:19:16.709,180.77453791666667,60.936746666666664,180.6997420301552,60.930113727609275,0.036938159329029586,,20.280472,,,,,,,-4.952634949243336,,,,1.193168
Gaia DR3 1582387447881389056,Bader,2024-03-05T21:19:16.709,180.70063999999996,60.96863527777778,180.67893635898403,60.96974224222199,0.01059035236387436,,20.324024,,,,,,,-3.317298007274378,,,,1.193168
LEDA 2607793,Bader,2024-03-05T21:19:16.709,180.6476420833333,60.84814472222222,180.64072820175647,60.85725176086493,0.009709679814310033,,19.61422,,,,,,,-3.0502899097871357,,,,1.193168
SDSS J120123.28+605818.8,Bader,2024-03-05T21:19:16.709,180.34712,60.97181722222222,180.30819455049794,60.95530561645369,0.02509146408066702,,20.128153,,,,,,,-4.984572433067635,,,,1.193168
SDSS J120200.28+605129.5,Bader,2024-03-05T21:19:16.709,180.50115874999997,60.85819611111111,180.51141767472728,60.86259586603242,0.006656770470740748,,21.862967,,,,,,,-3.304104881207331,,,,1.193168
SDSS J120202.61+605825.1,Bader,2024-03-05T21:19:16.709,180.51094166666664,60.973552777777776,180.52386353913775,60.970531838531734,0.006959957323443321,,19.831186,,,,,,,-4.23520952998108,,,,1.193168
SDSS J120241.19+604322.6,Bader,2024-03-05T21:19:16.709,180.67167749999996,60.72295888888889,180.6241750312183,60.708267802142146,0.0274903690944785,,19.88113,21.6,20.46,,,,,-5.407286826321561,,,,1.193168
SDSS J120249.78+604546.7,Bader,2024-03-05T21:19:16.709,180.70744166666665,60.762997222222225,180.67435889683216,60.748144794908,0.021950154032811968,,,,,,,,,-3.7816221983069873,,,,1.193168
SDSS J120251.27+605127.9,Bader,2024-03-05T21:19:16.709,180.71366625,60.85774333333333,180.7070446941887,60.84965208775291,0.008710263802771902,,16.586504,,,,,,,-4.984330368205889,,,,1.193168
SDSS J120252.42+605306.3,Bader,2024-03-05T21:19:16.709,180.71842291666664,60.885082777777775,180.6910980031855,60.88658442543464,0.013379510649166494,,20.805779,,,,,,,-5.279977325927026,,,,1.193168
TYC 4154-593-1,Bader,2024-03-05T21:19:16.709,180.61884833333332,60.85004083333334,180.6098525659866,60.851178233618704,0.00452694959907716,,12.370372,13.09,12.3,,,,,-4.937828495356788,,,,1.193168
TYC 4154-670-1,Bader,2024-03-05T21:19:16.709,180.52546166666664,60.79639888888889,180.52660744027398,60.792816551175164,0.0036257004436963357,,11.886413,12.73,12.22,,,,,-4.024035563995804,,,,1.193168
TYC 4154-789-1,Bader,2024-03-05T21:19:16.709,180.17309333333333,60.78986416666667,180.24135885481326,60.78397210749559,0.03383457775182854,,11.257854,11.9,11.47,,,,,-3.8220605917269723,,,,1.193168
